Date,Day,Week,Phase,Gym,Run,Run_km,Run_Pace,Double_Day
08/06/2026,Monday,1,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5,6:00–6:45/km,Yes
09/06/2026,Tuesday,1,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,8,4:30–4:40/km,
10/06/2026,Wednesday,1,Phase 1 — Base (Jun–Sep),Upper,,,,
11/06/2026,Thursday,1,Phase 1 — Base (Jun–Sep),Lower,Easy Run,6.1,5:45–6:30/km,Yes
12/06/2026,Friday,1,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,5.2,4:40–4:50/km,
13/06/2026,Saturday,1,Phase 1 — Base (Jun–Sep),Pull,,,,
14/06/2026,Sunday,1,Phase 1 — Base (Jun–Sep),Push,Long Run,10.6,5:30–6:00/km,Yes
,,,,,,,,
15/06/2026,Monday,2,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5.5,6:00–6:30/km,Yes
16/06/2026,Tuesday,2,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:00/km,
17/06/2026,Wednesday,2,Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,5,5:30–6:00/km,Yes
18/06/2026,Thursday,2,Phase 1 — Base (Jun–Sep),Lower,Easy Run,7,5:30–6:15/km,Yes
19/06/2026,Friday,2,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,6,4:25–4:35/km,
20/06/2026,Saturday,2,Phase 1 — Base (Jun–Sep),Pull,,,,
21/06/2026,Sunday,2,Phase 1 — Base (Jun–Sep),Push,Long Run,12,5:30–6:15/km,Yes
,,,,,,,,
22/06/2026,Monday,3,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5.5,6:00–6:30/km,Yes
23/06/2026,Tuesday,3,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:00/km,
24/06/2026,Wednesday,3,Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,6,5:30–6:00/km,Yes
25/06/2026,Thursday,3,Phase 1 — Base (Jun–Sep),Lower,Easy Run,7.5,5:30–6:15/km,Yes
26/06/2026,Friday,3,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,6.5,4:25–4:35/km,
27/06/2026,Saturday,3,Phase 1 — Base (Jun–Sep),Pull,,,,
28/06/2026,Sunday,3,Phase 1 — Base (Jun–Sep),Push,Long Run,13.5,5:30–6:15/km,Yes
,,,,,,,,
29/06/2026,Monday,4 (Cutback),Phase 1 — Base (Jun–Sep),Legs,Recovery Run,4.5,6:00–6:30/km,Yes
30/06/2026,Tuesday,4 (Cutback),Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:00/km,
01/07/2026,Wednesday,4 (Cutback),Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,5,5:30–6:00/km,Yes
02/07/2026,Thursday,4 (Cutback),Phase 1 — Base (Jun–Sep),Lower,Easy Run,5.5,5:30–6:15/km,Yes
03/07/2026,Friday,4 (Cutback),Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,5,4:25–4:35/km,
04/07/2026,Saturday,4 (Cutback),Phase 1 — Base (Jun–Sep),Pull,,,,
05/07/2026,Sunday,4 (Cutback),Phase 1 — Base (Jun–Sep),Push,Long Run,10.5,5:30–6:15/km,Yes
,,,,,,,,
06/07/2026,Monday,5,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,6,6:00–6:30/km,Yes
07/07/2026,Tuesday,5,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:00/km,
08/07/2026,Wednesday,5,Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,7,5:30–6:00/km,Yes
09/07/2026,Thursday,5,Phase 1 — Base (Jun–Sep),Lower,Easy Run,8,5:30–6:15/km,Yes
10/07/2026,Friday,5,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,7,4:25–4:35/km,
11/07/2026,Saturday,5,Phase 1 — Base (Jun–Sep),Pull,,,,
12/07/2026,Sunday,5,Phase 1 — Base (Jun–Sep),Push,Long Run,14.8,5:30–6:00/km,Yes
,,,,,,,,
13/07/2026,Monday,6,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,6,6:00–6:30/km,Yes
14/07/2026,Tuesday,6,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:00/km,
15/07/2026,Wednesday,6,Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,8,5:30–6:00/km,Yes
16/07/2026,Thursday,6,Phase 1 — Base (Jun–Sep),Lower,Easy Run,8.5,5:30–6:15/km,Yes
17/07/2026,Friday,6,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,7.5,4:25–4:35/km,
18/07/2026,Saturday,6,Phase 1 — Base (Jun–Sep),Pull,,,,
19/07/2026,Sunday,6,Phase 1 — Base (Jun–Sep),Push,Long Run,16,5:30–6:00/km,Yes
,,,,,,,,
20/07/2026,Monday,7,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,6,6:00–6:30/km,Yes
21/07/2026,Tuesday,7,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:00/km,
22/07/2026,Wednesday,7,Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,9,5:30–6:00/km,Yes
23/07/2026,Thursday,7,Phase 1 — Base (Jun–Sep),Lower,Easy Run,9,5:30–6:15/km,Yes
24/07/2026,Friday,7,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,8,4:25–4:35/km,
25/07/2026,Saturday,7,Phase 1 — Base (Jun–Sep),Pull,,,,
26/07/2026,Sunday,7,Phase 1 — Base (Jun–Sep),Push,Long Run,17.2,5:30–6:00/km,Yes
,,,,,,,,
27/07/2026,Monday,8 (Cutback),Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5,6:00–6:30/km,Yes
